Platform,Region,Instance,On.Demand_Hour,No.UP.1Y_Month,Part.UP.1Y_UP,Part.UP.1Y_Month,All.UP.1Y_UP,Part.UP.3Y_UP,Part.UP.3Y_Month,All.UP.3Y_UP
RHEL,Asia Pacific (Sydney),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Linux,Asia Pacific (Sydney),c4.xlarge,$0.304 per Hour,164.98,852,71.54,1676,1798,49.64,3370
RHEL,Asia Pacific (Sydney),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Windows with SQL Standard,Asia Pacific (Sydney),i2.4xlarge,$4.070 per Hour,1781.2,10483,652.62,17948,15782,506.62,31979
Windows,Asia Pacific (Sydney),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
Linux,Asia Pacific (Sydney),m3.large,$0.196 per Hour,99.28,491,45.26,1013,741,36.5,1931
Windows with SQL Web,Asia Pacific (Sydney),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Linux,Asia Pacific (Sydney),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Windows with SQL Standard,Asia Pacific (Sydney),i2.xlarge,$1.018 per Hour,445.3,2621,162.79,4482,3946,127.02,8007
Linux,Asia Pacific (Sydney),i2.xlarge,$1.018 per Hour,445.3,2621,162.79,4482,3946,127.02,8007
Windows with SQL Web,Asia Pacific (Sydney),hs1.8xlarge,$5.570 per Hour,2305.34,14191,788.4,23178,26280,730,49406
SLES,Asia Pacific (Sydney),i2.4xlarge,$4.070 per Hour,1781.2,10483,652.62,17948,15782,506.62,31979
Linux,Asia Pacific (Sydney),r3.large,$0.210 per Hour,114.61,777,35.04,1173,1482,27.74,2331
Linux,Asia Pacific (Sydney),t2.small,$0.040 per Hour,23.36,158,8.76,257,356,7.3,581
SLES,Asia Pacific (Sydney),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Windows,Asia Pacific (Sydney),t2.micro,$0.020 per Hour,11.68,79,4.38,128,178,3.65,290
Windows with SQL Web,Asia Pacific (Sydney),i2.2xlarge,$2.035 per Hour,890.6,5242,327.04,8983,7891,253.31,15989
Windows with SQL Web,Asia Pacific (Sydney),t2.medium,$0.080 per Hour,46.72,316,17.52,515,712,14.6,1163
Linux,Asia Pacific (Sydney),m3.medium,$0.098 per Hour,49.64,245,22.63,506,370,18.25,965
SLES,Asia Pacific (Sydney),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Windows with SQL Standard,Asia Pacific (Sydney),m3.medium,$0.098 per Hour,49.64,245,22.63,506,370,18.25,965
Linux,Asia Pacific (Sydney),i2.4xlarge,$4.070 per Hour,1781.2,10483,652.62,17948,15782,506.62,31979
RHEL,Asia Pacific (Sydney),i2.2xlarge,$2.035 per Hour,890.6,5242,327.04,8983,7891,253.31,15989
RHEL,Asia Pacific (Sydney),c3.2xlarge,$0.529 per Hour,286.16,1426,129.21,2916,2153,114.61,5902
RHEL,Asia Pacific (Sydney),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
Windows with SQL Web,Asia Pacific (Sydney),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
RHEL,Asia Pacific (Sydney),c4.xlarge,$0.304 per Hour,164.98,852,71.54,1676,1798,49.64,3370
SLES,Asia Pacific (Sydney),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Linux,Asia Pacific (Sydney),c3.4xlarge,$1.058 per Hour,572.32,2852,258.42,5833,4306,228.49,11779
SLES,Asia Pacific (Sydney),m3.medium,$0.098 per Hour,49.64,245,22.63,506,370,18.25,965
Windows with SQL Standard,Asia Pacific (Sydney),c3.4xlarge,$1.058 per Hour,572.32,2852,258.42,5833,4306,228.49,11779
Windows with SQL Standard,Asia Pacific (Sydney),m3.large,$0.196 per Hour,99.28,491,45.26,1013,741,36.5,1931
Windows with SQL Standard,Asia Pacific (Sydney),t2.medium,$0.080 per Hour,46.72,316,17.52,515,712,14.6,1163
RHEL,Asia Pacific (Sydney),m3.xlarge,$0.392 per Hour,198.56,981,90.52,2025,1481,73,3862
Windows,Asia Pacific (Sydney),c3.2xlarge,$0.529 per Hour,286.16,1426,129.21,2916,2153,114.61,5902
Windows,Asia Pacific (Sydney),i2.2xlarge,$2.035 per Hour,890.6,5242,327.04,8983,7891,253.31,15989
SLES,Asia Pacific (Sydney),t2.small,$0.040 per Hour,23.36,158,8.76,257,356,7.3,581
Windows with SQL Web,Asia Pacific (Sydney),c3.8xlarge,$2.117 per Hour,1144.64,5704,516.11,11659,8613,456.98,23560
Linux,Asia Pacific (Sydney),m3.2xlarge,$0.784 per Hour,397.12,1961,181.04,4050,2961,146,7723
Windows with SQL Standard,Asia Pacific (Sydney),c3.xlarge,$0.265 per Hour,143.08,713,64.24,1454,1077,56.94,2939
Windows with SQL Standard,Asia Pacific (Sydney),hs1.8xlarge,$5.570 per Hour,2305.34,14191,788.4,23178,26280,730,49406
Windows with SQL Web,Asia Pacific (Sydney),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
SLES,Asia Pacific (Sydney),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows with SQL Standard,Asia Pacific (Sydney),c3.large,$0.132 per Hour,71.54,356,32.12,726,538,28.47,1469
Linux,Asia Pacific (Sydney),hs1.8xlarge,$5.570 per Hour,2305.34,14191,788.4,23178,26280,730,49406
Windows,Asia Pacific (Sydney),c3.large,$0.132 per Hour,71.54,356,32.12,726,538,28.47,1469
Linux,Asia Pacific (Sydney),c4.4xlarge,$1.216 per Hour,659.92,3408,286.16,6704,7192,198.56,13480
RHEL,Asia Pacific (Sydney),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows with SQL Standard,Asia Pacific (Sydney),i2.8xlarge,$8.140 per Hour,3562.4,20966,1305.24,35896,31565,1013.24,63959
RHEL,Asia Pacific (Sydney),c3.large,$0.132 per Hour,71.54,356,32.12,726,538,28.47,1469
Windows,Asia Pacific (Sydney),t2.small,$0.040 per Hour,23.36,158,8.76,257,356,7.3,581
Windows,Asia Pacific (Sydney),c3.4xlarge,$1.058 per Hour,572.32,2852,258.42,5833,4306,228.49,11779
RHEL,Asia Pacific (Sydney),c4.2xlarge,$0.608 per Hour,329.96,1704,143.08,3352,3596,99.28,6740
SLES,Asia Pacific (Sydney),t2.medium,$0.080 per Hour,46.72,316,17.52,515,712,14.6,1163
Windows with SQL Web,Asia Pacific (Sydney),m3.2xlarge,$0.784 per Hour,397.12,1961,181.04,4050,2961,146,7723
RHEL,Asia Pacific (Sydney),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
SLES,Asia Pacific (Sydney),m3.2xlarge,$0.784 per Hour,397.12,1961,181.04,4050,2961,146,7723
Linux,Asia Pacific (Sydney),i2.8xlarge,$8.140 per Hour,3562.4,20966,1305.24,35896,31565,1013.24,63959
Windows,Asia Pacific (Sydney),m3.large,$0.196 per Hour,99.28,491,45.26,1013,741,36.5,1931
Linux,Asia Pacific (Sydney),c3.xlarge,$0.265 per Hour,143.08,713,64.24,1454,1077,56.94,2939
SLES,Asia Pacific (Sydney),c3.8xlarge,$2.117 per Hour,1144.64,5704,516.11,11659,8613,456.98,23560
Windows with SQL Web,Asia Pacific (Sydney),t2.micro,$0.020 per Hour,11.68,79,4.38,128,178,3.65,290
SLES,Asia Pacific (Sydney),c4.4xlarge,$1.216 per Hour,659.92,3408,286.16,6704,7192,198.56,13480
RHEL,Asia Pacific (Sydney),c4.8xlarge,$2.432 per Hour,1319.84,6816,572.32,13408,14384,397.12,26960
Windows with SQL Standard,Asia Pacific (Sydney),c4.2xlarge,$0.608 per Hour,329.96,1704,143.08,3352,3596,99.28,6740
Windows,Asia Pacific (Sydney),m3.medium,$0.098 per Hour,49.64,245,22.63,506,370,18.25,965
Windows,Asia Pacific (Sydney),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
Windows,Asia Pacific (Sydney),t2.medium,$0.080 per Hour,46.72,316,17.52,515,712,14.6,1163
Windows with SQL Standard,Asia Pacific (Sydney),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
RHEL,Asia Pacific (Sydney),m3.medium,$0.098 per Hour,49.64,245,22.63,506,370,18.25,965
Windows,Asia Pacific (Sydney),c4.xlarge,$0.304 per Hour,164.98,852,71.54,1676,1798,49.64,3370
SLES,Asia Pacific (Sydney),c4.2xlarge,$0.608 per Hour,329.96,1704,143.08,3352,3596,99.28,6740
Windows with SQL Web,Asia Pacific (Sydney),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Windows with SQL Web,Asia Pacific (Sydney),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows with SQL Standard,Asia Pacific (Sydney),i2.2xlarge,$2.035 per Hour,890.6,5242,327.04,8983,7891,253.31,15989
RHEL,Asia Pacific (Sydney),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
Linux,Asia Pacific (Sydney),i2.2xlarge,$2.035 per Hour,890.6,5242,327.04,8983,7891,253.31,15989
Windows,Asia Pacific (Sydney),m3.xlarge,$0.392 per Hour,198.56,981,90.52,2025,1481,73,3862
Windows with SQL Web,Asia Pacific (Sydney),i2.xlarge,$1.018 per Hour,445.3,2621,162.79,4482,3946,127.02,8007
Windows,Asia Pacific (Sydney),hs1.8xlarge,$5.570 per Hour,2305.34,14191,788.4,23178,26280,730,49406
Windows,Asia Pacific (Sydney),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Windows with SQL Standard,Asia Pacific (Sydney),c4.8xlarge,$2.432 per Hour,1319.84,6816,572.32,13408,14384,397.12,26960
SLES,Asia Pacific (Sydney),m3.xlarge,$0.392 per Hour,198.56,981,90.52,2025,1481,73,3862
Windows,Asia Pacific (Sydney),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Windows,Asia Pacific (Sydney),c4.8xlarge,$2.432 per Hour,1319.84,6816,572.32,13408,14384,397.12,26960
Windows,Asia Pacific (Sydney),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Windows with SQL Standard,Asia Pacific (Sydney),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Windows,Asia Pacific (Sydney),i2.8xlarge,$8.140 per Hour,3562.4,20966,1305.24,35896,31565,1013.24,63959
Windows with SQL Web,Asia Pacific (Sydney),m3.medium,$0.098 per Hour,49.64,245,22.63,506,370,18.25,965
Windows with SQL Standard,Asia Pacific (Sydney),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
RHEL,Asia Pacific (Sydney),i2.4xlarge,$4.070 per Hour,1781.2,10483,652.62,17948,15782,506.62,31979
SLES,Asia Pacific (Sydney),c3.4xlarge,$1.058 per Hour,572.32,2852,258.42,5833,4306,228.49,11779
Windows with SQL Standard,Asia Pacific (Sydney),c3.2xlarge,$0.529 per Hour,286.16,1426,129.21,2916,2153,114.61,5902
SLES,Asia Pacific (Sydney),i2.xlarge,$1.018 per Hour,445.3,2621,162.79,4482,3946,127.02,8007
Windows with SQL Web,Asia Pacific (Sydney),c4.2xlarge,$0.608 per Hour,329.96,1704,143.08,3352,3596,99.28,6740
Linux,Asia Pacific (Sydney),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Windows with SQL Web,Asia Pacific (Sydney),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
Windows with SQL Web,Asia Pacific (Sydney),c3.xlarge,$0.265 per Hour,143.08,713,64.24,1454,1077,56.94,2939
Windows with SQL Web,Asia Pacific (Sydney),m3.large,$0.196 per Hour,99.28,491,45.26,1013,741,36.5,1931
Windows with SQL Standard,Asia Pacific (Sydney),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
Linux,Asia Pacific (Sydney),t2.medium,$0.080 per Hour,46.72,316,17.52,515,712,14.6,1163
Windows with SQL Web,Asia Pacific (Sydney),c3.large,$0.132 per Hour,71.54,356,32.12,726,538,28.47,1469
RHEL,Asia Pacific (Sydney),c4.4xlarge,$1.216 per Hour,659.92,3408,286.16,6704,7192,198.56,13480
Windows,Asia Pacific (Sydney),r3.large,$0.210 per Hour,114.61,777,35.04,1173,1482,27.74,2331
SLES,Asia Pacific (Sydney),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
SLES,Asia Pacific (Sydney),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
Windows,Asia Pacific (Sydney),c4.4xlarge,$1.216 per Hour,659.92,3408,286.16,6704,7192,198.56,13480
Windows with SQL Standard,Asia Pacific (Tokyo),m3.xlarge,$0.405 per Hour,195.64,973,89.79,2009,1500,72.27,3855
Windows with SQL Web,Asia Pacific (Tokyo),m3.xlarge,$0.405 per Hour,195.64,973,89.79,2009,1500,72.27,3855
Windows,Asia Pacific (Tokyo),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Windows with SQL Standard,Asia Pacific (Tokyo),c4.xlarge,$0.294 per Hour,163.52,884,73,1724,1870,52.56,3536
SLES,Asia Pacific (Tokyo),m3.large,$0.203 per Hour,97.82,487,44.53,1000,750,36.5,1940
SLES,Asia Pacific (Tokyo),i2.8xlarge,$8.004 per Hour,3638.32,21354,1330.06,36568,32150,1032.22,65151
Windows with SQL Standard,Asia Pacific (Tokyo),i2.xlarge,$1.001 per Hour,454.79,2670,166.44,4573,4019,129.21,8150
Linux,Asia Pacific (Tokyo),m3.medium,$0.101 per Hour,48.91,244,21.9,496,375,18.25,970
RHEL,Asia Pacific (Tokyo),c4.8xlarge,$2.352 per Hour,1308.16,7072,584,13792,14960,420.48,28288
Linux,Asia Pacific (Tokyo),c4.large,$0.147 per Hour,81.76,442,36.5,862,935,26.28,1768
Windows,Asia Pacific (Tokyo),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
RHEL,Asia Pacific (Tokyo),c4.xlarge,$0.294 per Hour,163.52,884,73,1724,1870,52.56,3536
Windows with SQL Standard,Asia Pacific (Tokyo),c4.large,$0.147 per Hour,81.76,442,36.5,862,935,26.28,1768
SLES,Asia Pacific (Tokyo),t2.medium,$0.080 per Hour,43.8,340,14.6,504,632,11.68,989
Windows with SQL Standard,Asia Pacific (Tokyo),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows with SQL Web,Asia Pacific (Tokyo),t2.small,$0.040 per Hour,21.9,170,7.3,252,316,5.84,494
SLES,Asia Pacific (Tokyo),c4.xlarge,$0.294 per Hour,163.52,884,73,1724,1870,52.56,3536
RHEL,Asia Pacific (Tokyo),r3.large,$0.210 per Hour,114.61,777,35.04,1173,1482,27.74,2331
RHEL,Asia Pacific (Tokyo),c3.xlarge,$0.255 per Hour,141.62,713,68.62,1505,1097,59.13,3032
RHEL,Asia Pacific (Tokyo),m3.large,$0.203 per Hour,97.82,487,44.53,1000,750,36.5,1940
SLES,Asia Pacific (Tokyo),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows,Asia Pacific (Tokyo),c4.2xlarge,$0.588 per Hour,327.04,1768,146,3448,3740,105.12,7072
Windows,Asia Pacific (Tokyo),c4.4xlarge,$1.176 per Hour,654.08,3536,292,6896,7480,210.24,14144
RHEL,Asia Pacific (Tokyo),m3.xlarge,$0.405 per Hour,195.64,973,89.79,2009,1500,72.27,3855
Windows with SQL Standard,Asia Pacific (Tokyo),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
Windows with SQL Web,Asia Pacific (Tokyo),c4.xlarge,$0.294 per Hour,163.52,884,73,1724,1870,52.56,3536
Linux,Asia Pacific (Tokyo),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
Windows with SQL Web,Asia Pacific (Tokyo),c3.8xlarge,$2.043 per Hour,1132.96,5708,547.5,12032,8777,475.23,24332
RHEL,Asia Pacific (Tokyo),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows,Asia Pacific (Tokyo),r3.large,$0.210 per Hour,114.61,777,35.04,1173,1482,27.74,2331
Windows,Asia Pacific (Tokyo),c3.8xlarge,$2.043 per Hour,1132.96,5708,547.5,12032,8777,475.23,24332
SLES,Asia Pacific (Tokyo),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Windows with SQL Web,Asia Pacific (Tokyo),t2.micro,$0.020 per Hour,10.95,85,3.65,126,158,2.92,247
Linux,Asia Pacific (Tokyo),c4.4xlarge,$1.176 per Hour,654.08,3536,292,6896,7480,210.24,14144
Windows with SQL Web,Asia Pacific (Tokyo),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
Windows with SQL Web,Asia Pacific (Tokyo),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Windows with SQL Standard,Asia Pacific (Tokyo),m3.large,$0.203 per Hour,97.82,487,44.53,1000,750,36.5,1940
Windows with SQL Standard,Asia Pacific (Tokyo),c3.xlarge,$0.255 per Hour,141.62,713,68.62,1505,1097,59.13,3032
Linux,Asia Pacific (Tokyo),c4.xlarge,$0.294 per Hour,163.52,884,73,1724,1870,52.56,3536
RHEL,Asia Pacific (Tokyo),m3.2xlarge,$0.810 per Hour,391.28,1948,179.58,4020,3000,145.27,7735
RHEL,Asia Pacific (Tokyo),c4.2xlarge,$0.588 per Hour,327.04,1768,146,3448,3740,105.12,7072
RHEL,Asia Pacific (Tokyo),c3.4xlarge,$1.021 per Hour,566.48,2854,273.75,6016,4389,237.98,12178
Linux,Asia Pacific (Tokyo),t2.micro,$0.020 per Hour,10.95,85,3.65,126,158,2.92,247
RHEL,Asia Pacific (Tokyo),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Windows with SQL Web,Asia Pacific (Tokyo),i2.xlarge,$1.001 per Hour,454.79,2670,166.44,4573,4019,129.21,8150
Windows with SQL Web,Asia Pacific (Tokyo),c3.2xlarge,$0.511 per Hour,283.24,1427,137.24,3012,2194,118.99,6088
Windows,Asia Pacific (Tokyo),c4.xlarge,$0.294 per Hour,163.52,884,73,1724,1870,52.56,3536
Linux,Asia Pacific (Tokyo),m3.2xlarge,$0.810 per Hour,391.28,1948,179.58,4020,3000,145.27,7735
Linux,Asia Pacific (Tokyo),c3.8xlarge,$2.043 per Hour,1132.96,5708,547.5,12032,8777,475.23,24332
Linux,Asia Pacific (Tokyo),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Linux,Asia Pacific (Tokyo),i2.8xlarge,$8.004 per Hour,3638.32,21354,1330.06,36568,32150,1032.22,65151
SLES,Asia Pacific (Tokyo),c4.8xlarge,$2.352 per Hour,1308.16,7072,584,13792,14960,420.48,28288
RHEL,Asia Pacific (Tokyo),i2.4xlarge,$4.002 per Hour,1819.16,10677,664.3,18275,16074,516.11,32574
Windows with SQL Standard,Asia Pacific (Tokyo),hs1.8xlarge,$5.400 per Hour,2374.69,12822,961.41,23871,19321,967.25,50893
Windows with SQL Web,Asia Pacific (Tokyo),i2.4xlarge,$4.002 per Hour,1819.16,10677,664.3,18275,16074,516.11,32574
SLES,Asia Pacific (Tokyo),c4.2xlarge,$0.588 per Hour,327.04,1768,146,3448,3740,105.12,7072
RHEL,Asia Pacific (Tokyo),t2.medium,$0.080 per Hour,43.8,340,14.6,504,632,11.68,989
Windows with SQL Web,Asia Pacific (Tokyo),c3.large,$0.128 per Hour,70.81,357,34.31,753,549,29.93,1528
Windows with SQL Standard,Asia Pacific (Tokyo),t2.micro,$0.020 per Hour,10.95,85,3.65,126,158,2.92,247
Linux,Asia Pacific (Tokyo),c3.2xlarge,$0.511 per Hour,283.24,1427,137.24,3012,2194,118.99,6088
Windows with SQL Web,Asia Pacific (Tokyo),t2.medium,$0.080 per Hour,43.8,340,14.6,504,632,11.68,989
Windows with SQL Standard,Asia Pacific (Tokyo),c3.4xlarge,$1.021 per Hour,566.48,2854,273.75,6016,4389,237.98,12178
Windows with SQL Standard,Asia Pacific (Tokyo),i2.4xlarge,$4.002 per Hour,1819.16,10677,664.3,18275,16074,516.11,32574
RHEL,Asia Pacific (Tokyo),c3.2xlarge,$0.511 per Hour,283.24,1427,137.24,3012,2194,118.99,6088
Windows,Asia Pacific (Tokyo),i2.2xlarge,$2.001 per Hour,909.58,5339,332.88,9146,8037,257.69,16275
Linux,Asia Pacific (Tokyo),c3.large,$0.128 per Hour,70.81,357,34.31,753,549,29.93,1528
Windows,Asia Pacific (Tokyo),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Windows with SQL Standard,Asia Pacific (Tokyo),i2.8xlarge,$8.004 per Hour,3638.32,21354,1330.06,36568,32150,1032.22,65151
Windows,Asia Pacific (Tokyo),c3.2xlarge,$0.511 per Hour,283.24,1427,137.24,3012,2194,118.99,6088
Windows,Asia Pacific (Tokyo),i2.xlarge,$1.001 per Hour,454.79,2670,166.44,4573,4019,129.21,8150
Windows with SQL Web,Asia Pacific (Tokyo),m3.medium,$0.101 per Hour,48.91,244,21.9,496,375,18.25,970
Windows with SQL Web,Asia Pacific (Tokyo),r3.large,$0.210 per Hour,114.61,777,35.04,1173,1482,27.74,2331
Linux,Asia Pacific (Tokyo),i2.xlarge,$1.001 per Hour,454.79,2670,166.44,4573,4019,129.21,8150
Windows with SQL Web,Asia Pacific (Tokyo),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Windows with SQL Web,Asia Pacific (Tokyo),m3.large,$0.203 per Hour,97.82,487,44.53,1000,750,36.5,1940
SLES,Asia Pacific (Tokyo),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Linux,Asia Pacific (Tokyo),c4.8xlarge,$2.352 per Hour,1308.16,7072,584,13792,14960,420.48,28288
Linux,Asia Pacific (Tokyo),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Windows with SQL Standard,Asia Pacific (Tokyo),c4.8xlarge,$2.352 per Hour,1308.16,7072,584,13792,14960,420.48,28288
RHEL,Asia Pacific (Tokyo),g2.2xlarge,$0.898 per Hour,494.94,3406,153.3,5140,9310,64.97,10949
Linux,Asia Pacific (Tokyo),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows,Asia Pacific (Tokyo),m3.large,$0.203 per Hour,97.82,487,44.53,1000,750,36.5,1940
Windows,Asia Pacific (Tokyo),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
RHEL,Asia Pacific (Tokyo),c4.large,$0.147 per Hour,81.76,442,36.5,862,935,26.28,1768
Linux,Asia Pacific (Tokyo),m3.xlarge,$0.405 per Hour,195.64,973,89.79,2009,1500,72.27,3855
RHEL,Asia Pacific (Tokyo),hs1.8xlarge,$5.400 per Hour,2374.69,12822,961.41,23871,19321,967.25,50893
Windows with SQL Web,Asia Pacific (Tokyo),hs1.8xlarge,$5.400 per Hour,2374.69,12822,961.41,23871,19321,967.25,50893
SLES,Asia Pacific (Tokyo),m3.medium,$0.101 per Hour,48.91,244,21.9,496,375,18.25,970
SLES,Asia Pacific (Tokyo),i2.2xlarge,$2.001 per Hour,909.58,5339,332.88,9146,8037,257.69,16275
Windows with SQL Standard,Asia Pacific (Tokyo),m3.2xlarge,$0.810 per Hour,391.28,1948,179.58,4020,3000,145.27,7735
Linux,Asia Pacific (Tokyo),i2.4xlarge,$4.002 per Hour,1819.16,10677,664.3,18275,16074,516.11,32574
Windows,Asia Pacific (Tokyo),c3.4xlarge,$1.021 per Hour,566.48,2854,273.75,6016,4389,237.98,12178
SLES,Asia Pacific (Tokyo),c4.large,$0.147 per Hour,81.76,442,36.5,862,935,26.28,1768
Windows,Asia Pacific (Tokyo),c4.large,$0.147 per Hour,81.76,442,36.5,862,935,26.28,1768
Windows with SQL Standard,Asia Pacific (Tokyo),c4.4xlarge,$1.176 per Hour,654.08,3536,292,6896,7480,210.24,14144
RHEL,Asia Pacific (Tokyo),c3.large,$0.128 per Hour,70.81,357,34.31,753,549,29.93,1528
RHEL,Asia Pacific (Tokyo),t2.micro,$0.020 per Hour,10.95,85,3.65,126,158,2.92,247
Linux,Asia Pacific (Tokyo),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
RHEL,Asia Pacific (Tokyo),t2.small,$0.040 per Hour,21.9,170,7.3,252,316,5.84,494
SLES,Asia Pacific (Tokyo),i2.4xlarge,$4.002 per Hour,1819.16,10677,664.3,18275,16074,516.11,32574
Windows with SQL Standard,Asia Pacific (Tokyo),c4.2xlarge,$0.588 per Hour,327.04,1768,146,3448,3740,105.12,7072
SLES,Asia Pacific (Tokyo),m3.2xlarge,$0.810 per Hour,391.28,1948,179.58,4020,3000,145.27,7735
Linux,Asia Pacific (Tokyo),c3.4xlarge,$1.021 per Hour,566.48,2854,273.75,6016,4389,237.98,12178
RHEL,Asia Pacific (Tokyo),c3.8xlarge,$2.043 per Hour,1132.96,5708,547.5,12032,8777,475.23,24332
Windows,Asia Pacific (Tokyo),c3.large,$0.128 per Hour,70.81,357,34.31,753,549,29.93,1528
Windows,Asia Pacific (Tokyo),m3.2xlarge,$0.810 per Hour,391.28,1948,179.58,4020,3000,145.27,7735
SLES,Asia Pacific (Tokyo),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
Windows with SQL Web,Asia Pacific (Tokyo),c4.4xlarge,$1.176 per Hour,654.08,3536,292,6896,7480,210.24,14144
